 ,Label,Area,Mean,IntDen,RawIntDen
1,TCFLef:back1a,76.521,13.700,1048.358,20345.000
2,TCFLef:back1b,43.439,13.828,600.674,11657.000
3,TCFLef:back1c,55.497,13.766,763.969,14826.000
4,TCFLef:Cntl,8220.524,304.010,2499119.296,48499278.000
5,TCFLef:Expt,6911.482,112.769,779400.910,15125481.000
6,pCIG:back2a,76.521,25.857,1978.559,38397.000
7,pCIG:back2b,43.439,26.406,1147.036,22260.000
8,pCIG:back2c,55.497,26.085,1447.656,28094.000
9,pCIG:Cntl,8220.524,160.750,1321449.663,25644776.000
10,pCIG:Expt,6911.482,86.816,600024.185,11644398.000
